Frequency (Hz)	Level (dB)
9808.374023	-112.412018
9819.140625	-111.968803
9829.907227	-112.426468
9840.673828	-110.990654
9851.440430	-112.073914
9862.207031	-111.177841
9872.973633	-113.263451
9883.740234	-114.665962
9894.506836	-112.997086
9905.273438	-112.048851
9916.040039	-113.155411
9926.806641	-113.496094
9937.573242	-113.232819
9948.339844	-111.375465
9959.106445	-112.381737
9969.873047	-112.584770
9980.639648	-112.807037
9991.406250	-112.776627
10002.172852	-113.098083
10012.939453	-112.478043
10023.706055	-112.686195
10034.472656	-110.617012
10045.239258	-112.086136
10056.005859	-113.360466
10066.772461	-114.586441
10077.539062	-114.676262
10088.305664	-114.995628
10099.072266	-113.381752
10109.838867	-112.188919
10120.605469	-111.920723
10131.372070	-113.445442
10142.138672	-114.449921
10152.905273	-114.232681
10163.671875	-112.013176
10174.438477	-108.827248
10185.205078	-106.559792
10195.971680	-106.128357
10206.738281	-108.992599
10217.504883	-112.273430
10228.271484	-112.692780
10239.038086	-113.529869
10249.804688	-112.746437
10260.571289	-113.402351
10271.337891	-113.333778
10282.104492	-111.776176
10292.871094	-110.718155
10303.637695	-113.980690
10314.404297	-113.727257
10325.170898	-111.666725
10335.937500	-109.306847
10346.704102	-108.822266
10357.470703	-109.547295
10368.237305	-109.839470
10379.003906	-109.627838
10389.770508	-112.187874
10400.537109	-112.851181
10411.303711	-112.507721
10422.070312	-112.894020
10432.836914	-112.319023
10443.603516	-110.339760
10454.370117	-111.672157
10465.136719	-110.708786
10475.903320	-112.746101
10486.669922	-115.302666
10497.436523	-113.102463
10508.203125	-113.029274
10518.969727	-111.388306
10529.736328	-109.093277
10540.502930	-111.271484
10551.269531	-110.608032
10562.036133	-112.243584
10572.802734	-112.651695
10583.569336	-113.213234
10594.335938	-111.989540
10605.102539	-110.410431
10615.869141	-110.666519
10626.635742	-112.135368
10637.402344	-112.441429
10648.168945	-114.044296
10658.935547	-114.352463
10669.702148	-112.114258
10680.468750	-111.193840
10691.235352	-110.673599
10702.001953	-111.456322
10712.768555	-112.482277
10723.535156	-112.388733
10734.301758	-113.164230
10745.068359	-112.174957
10755.834961	-111.442230
10766.601562	-111.574440
10777.368164	-110.853073
10788.134766	-111.247574
10798.901367	-111.880112
10809.667969	-111.376816
10820.434570	-112.942261
10831.201172	-112.063690
10841.967773	-111.960815
10852.734375	-111.594566
10863.500977	-112.709244
10874.267578	-113.309944
10885.034180	-113.886223
10895.800781	-113.396271
10906.567383	-113.849823
10917.333984	-114.210136
10928.100586	-112.622612
10938.867188	-110.209465
10949.633789	-112.316673
10960.400391	-113.113655
10971.166992	-112.516396
10981.933594	-111.613235
10992.700195	-111.926834
11003.466797	-111.541763
11014.233398	-99.603111
11025.000000	-93.867256
11035.766602	-99.528755
11046.533203	-110.481506
11057.299805	-112.508652
11068.066406	-111.885262
11078.833008	-112.828423
11089.599609	-113.304001
11100.366211	-113.290840
11111.132812	-110.972656
11121.899414	-110.799454
11132.666016	-111.145775
11143.432617	-112.359123
11154.199219	-112.747856
11164.965820	-113.388557
11175.732422	-112.919518
11186.499023	-112.107574
11197.265625	-113.069382
11208.032227	-114.271942
11218.798828	-113.337601
11229.565430	-112.381226
11240.332031	-112.273743
11251.098633	-112.879456
11261.865234	-111.898109
11272.631836	-110.863594
11283.398438	-111.914078
11294.165039	-111.672714
11304.931641	-110.332413
11315.698242	-111.053993
11326.464844	-111.906761
11337.231445	-112.060516
11347.998047	-109.790344
11358.764648	-107.840370
11369.531250	-108.624924
11380.297852	-111.080261
